SeqName	Hit-Desc	GO-Group	GO-ID	Term
HMEL025033-PA	homeobox protein abdominal-a homolog	F	GO:0003700	sequence-specific DNA binding transcription factor activity
HMEL025033-PA	homeobox protein abdominal-a homolog	F	GO:0043565	sequence-specific DNA binding
HMEL025033-PA	homeobox protein abdominal-a homolog	P	GO:0007275	multicellular organismal development
HMEL025033-PA	homeobox protein abdominal-a homolog	C	GO:0005634	nucleus
HMEL025033-PA	homeobox protein abdominal-a homolog	P	GO:0006355	regulation of transcription, DNA-dependent
HMEL025033-PA	homeobox protein abdominal-a homolog	C	GO:0005667	transcription factor complex
HMEL025033-PA	homeobox protein abdominal-a homolog	P	GO:0045449	regulation of transcription, DNA-dependent
HMEL025034-PA	isoform f	P	GO:0035052	dorsal vessel aortic cell fate commitment
HMEL025034-PA	isoform f	F	GO:0000980	RNA polymerase II distal enhancer sequence-specific DNA binding
HMEL025034-PA	isoform f	P	GO:0000122	negative regulation of transcription from RNA polymerase II promoter
HMEL025034-PA	isoform f	P	GO:0010092	specification of organ identity
HMEL025034-PA	isoform f	P	GO:0045570	regulation of imaginal disc growth
HMEL025034-PA	isoform f	P	GO:0007424	open tracheal system development
HMEL025034-PA	isoform f	P	GO:0060969	negative regulation of gene silencing
HMEL025034-PA	isoform f	P	GO:0042659	regulation of cell fate specification
HMEL025034-PA	isoform f	P	GO:0007494	midgut development
HMEL025034-PA	isoform f	P	GO:0042694	muscle cell fate specification
HMEL025034-PA	isoform f	P	GO:0007482	haltere development
HMEL025034-PA	isoform f	P	GO:0007384	specification of segmental identity, thorax
HMEL025034-PA	isoform f	F	GO:0019904	protein domain specific binding
HMEL025034-PA	isoform f	P	GO:0001709	cell fate determination
HMEL025034-PA	isoform f	P	GO:0007501	mesodermal cell fate specification
HMEL025034-PA	isoform f	P	GO:0007480	imaginal disc-derived leg morphogenesis
HMEL025034-PA	isoform f	P	GO:0048636	positive regulation of muscle organ development
HMEL025034-PA	isoform f	P	GO:0007385	specification of segmental identity, abdomen
HMEL025034-PA	isoform f	F	GO:0003700	sequence-specific DNA binding transcription factor activity
HMEL025034-PA	isoform f	P	GO:0007525	somatic muscle development
HMEL025034-PA	isoform f	P	GO:0001706	endoderm formation
HMEL025034-PA	isoform f	P	GO:0061327	anterior Malpighian tubule development
HMEL025034-PA	isoform f	C	GO:0005634	nucleus
HMEL025034-PA	isoform f	C	GO:0005667	transcription factor complex
HMEL025034-PA	isoform f	P	GO:0045449	regulation of transcription, DNA-dependent
HMEL025056-PA	ultrabithorax	F	GO:0003700	sequence-specific DNA binding transcription factor activity
HMEL025056-PA	ultrabithorax	F	GO:0043565	sequence-specific DNA binding
HMEL025056-PA	ultrabithorax	P	GO:0007275	multicellular organismal development
HMEL025056-PA	ultrabithorax	C	GO:0005634	nucleus
HMEL025056-PA	ultrabithorax	P	GO:0006355	regulation of transcription, DNA-dependent
HMEL025056-PA	ultrabithorax	C	GO:0005667	transcription factor complex
HMEL025056-PA	ultrabithorax	P	GO:0045449	regulation of transcription, DNA-dependent
HMEL025000-PA	antennapedia homologue protein	F	GO:0003700	sequence-specific DNA binding transcription factor activity
HMEL025000-PA	antennapedia homologue protein	F	GO:0043565	sequence-specific DNA binding
HMEL025000-PA	antennapedia homologue protein	P	GO:0007275	multicellular organismal development
HMEL025000-PA	antennapedia homologue protein	C	GO:0005634	nucleus
HMEL025000-PA	antennapedia homologue protein	P	GO:0006355	regulation of transcription, DNA-dependent
HMEL025000-PA	antennapedia homologue protein	C	GO:0005667	transcription factor complex
HMEL025000-PA	antennapedia homologue protein	P	GO:0045449	regulation of transcription, DNA-dependent
HMEL025048-PA	special homeobox protein 8	P	GO:0006355	regulation of transcription, DNA-dependent
HMEL025048-PA	special homeobox protein 8	F	GO:0043565	sequence-specific DNA binding
HMEL025048-PA	special homeobox protein 8	F	GO:0003700	sequence-specific DNA binding transcription factor activity
HMEL025048-PA	special homeobox protein 8	P	GO:0007275	multicellular organismal development
HMEL025048-PA	special homeobox protein 8	C	GO:0005634	nucleus
HMEL025048-PA	special homeobox protein 8	C	GO:0005667	transcription factor complex
HMEL025048-PA	special homeobox protein 8	P	GO:0045449	regulation of transcription, DNA-dependent
HMEL025049-PA	even-skipped homeobox 2a	F	GO:0003700	sequence-specific DNA binding transcription factor activity
HMEL025049-PA	even-skipped homeobox 2a	F	GO:0043565	sequence-specific DNA binding
HMEL025049-PA	even-skipped homeobox 2a	C	GO:0005634	nucleus
HMEL025049-PA	even-skipped homeobox 2a	P	GO:0006355	regulation of transcription, DNA-dependent
HMEL025049-PA	even-skipped homeobox 2a	C	GO:0005667	transcription factor complex
HMEL025049-PA	even-skipped homeobox 2a	P	GO:0045449	regulation of transcription, DNA-dependent
HMEL025050-PB	special homeobox protein 1	F	GO:0043565	sequence-specific DNA binding
HMEL025050-PB	special homeobox protein 1	P	GO:0006355	regulation of transcription, DNA-dependent
HMEL025050-PB	special homeobox protein 1	F	GO:0003700	sequence-specific DNA binding transcription factor activity
HMEL025050-PB	special homeobox protein 1	C	GO:0005634	nucleus
HMEL025050-PB	special homeobox protein 1	C	GO:0005667	transcription factor complex
HMEL025050-PB	special homeobox protein 1	P	GO:0045449	regulation of transcription, DNA-dependent
HMEL025051-PA	nk homeobox protein	P	GO:0006355	regulation of transcription, DNA-dependent
HMEL025051-PA	nk homeobox protein	F	GO:0043565	sequence-specific DNA binding
HMEL025051-PA	nk homeobox protein	F	GO:0003700	sequence-specific DNA binding transcription factor activity
HMEL025051-PA	nk homeobox protein	C	GO:0005667	transcription factor complex
HMEL025051-PA	nk homeobox protein	P	GO:0045449	regulation of transcription, DNA-dependent
HMEL025052-PB	homeobox protein hox-a3	P	GO:0001525	angiogenesis
HMEL025052-PB	homeobox protein hox-a3	P	GO:0000122	negative regulation of transcription from RNA polymerase II promoter
HMEL025052-PB	homeobox protein hox-a3	P	GO:0048645	organ formation
HMEL025052-PB	homeobox protein hox-a3	P	GO:0030878	thyroid gland development
HMEL025052-PB	homeobox protein hox-a3	F	GO:0000979	RNA polymerase II core promoter sequence-specific DNA binding
HMEL025052-PB	homeobox protein hox-a3	F	GO:0071837	HMG box domain binding
HMEL025052-PB	homeobox protein hox-a3	P	GO:0051216	cartilage development
HMEL025052-PB	homeobox protein hox-a3	P	GO:0021546	rhombomere development
HMEL025052-PB	homeobox protein hox-a3	P	GO:0010159	specification of organ position
HMEL025052-PB	homeobox protein hox-a3	P	GO:0060324	face development
HMEL025052-PB	homeobox protein hox-a3	C	GO:0005730	nucleolus
HMEL025052-PB	homeobox protein hox-a3	P	GO:0050767	regulation of neurogenesis
HMEL025052-PB	homeobox protein hox-a3	P	GO:0008284	positive regulation of cell proliferation
HMEL025052-PB	homeobox protein hox-a3	P	GO:0060216	definitive hemopoiesis
HMEL025052-PB	homeobox protein hox-a3	P	GO:0048538	thymus development
HMEL025052-PB	homeobox protein hox-a3	F	GO:0003700	sequence-specific DNA binding transcription factor activity
HMEL025052-PB	homeobox protein hox-a3	P	GO:0009952	anterior/posterior pattern specification
HMEL025052-PB	homeobox protein hox-a3	P	GO:0060017	parathyroid gland development
HMEL025052-PB	homeobox protein hox-a3	P	GO:0001974	blood vessel remodeling
HMEL025052-PB	homeobox protein hox-a3	P	GO:0048704	embryonic skeletal system morphogenesis
HMEL025052-PB	homeobox protein hox-a3	P	GO:0021615	glossopharyngeal nerve morphogenesis
HMEL025052-PB	homeobox protein hox-a3	C	GO:0005667	transcription factor complex
HMEL025052-PB	homeobox protein hox-a3	P	GO:0045449	regulation of transcription, DNA-dependent
HMEL025053-PA	transcription factor deformed	P	GO:0000122	negative regulation of transcription from RNA polymerase II promoter
HMEL025053-PA	transcription factor deformed	F	GO:0033613	activating transcription factor binding
HMEL025053-PA	transcription factor deformed	F	GO:0000977	RNA polymerase II regulatory region sequence-specific DNA binding
HMEL025053-PA	transcription factor deformed	P	GO:0007420	brain development
HMEL025053-PA	transcription factor deformed	F	GO:0003705	RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity
HMEL025053-PA	transcription factor deformed	P	GO:0006917	apoptotic process
HMEL025053-PA	transcription factor deformed	P	GO:0007380	specification of segmental identity, head
HMEL025053-PA	transcription factor deformed	P	GO:0045944	positive regulation of transcription from RNA polymerase II promoter
HMEL025053-PA	transcription factor deformed	C	GO:0005634	nucleus
HMEL025053-PA	transcription factor deformed	P	GO:0048598	embryonic morphogenesis
HMEL025053-PA	transcription factor deformed	C	GO:0005667	transcription factor complex
HMEL025054-PA	sex combs reduced	F	GO:0003700	sequence-specific DNA binding transcription factor activity
HMEL025054-PA	sex combs reduced	F	GO:0043565	sequence-specific DNA binding
HMEL025054-PA	sex combs reduced	P	GO:0007275	multicellular organismal development
HMEL025054-PA	sex combs reduced	C	GO:0005634	nucleus
HMEL025054-PA	sex combs reduced	P	GO:0006355	regulation of transcription, DNA-dependent
HMEL025054-PA	sex combs reduced	C	GO:0005667	transcription factor complex
HMEL025054-PA	sex combs reduced	P	GO:0045449	regulation of transcription, DNA-dependent
HMEL025055-PA	fushi tarazu	F	GO:0043565	sequence-specific DNA binding
HMEL025035-PA	homeobox protein abdominal-b	F	GO:0003700	sequence-specific DNA binding transcription factor activity
HMEL025035-PA	homeobox protein abdominal-b	F	GO:0043565	sequence-specific DNA binding
HMEL025035-PA	homeobox protein abdominal-b	C	GO:0005634	nucleus
HMEL025035-PA	homeobox protein abdominal-b	P	GO:0006355	regulation of transcription, DNA-dependent
HMEL025035-PA	homeobox protein abdominal-b	C	GO:0005667	transcription factor complex
HMEL025035-PA	homeobox protein abdominal-b	P	GO:0045449	regulation of transcription, DNA-dependent
HMEL025038-PA	voltage-gated potassium channel subunit beta-2	C	GO:0005737	cytoplasm
HMEL025038-PA	voltage-gated potassium channel subunit beta-2	F	GO:0005249	voltage-gated potassium channel activity
HMEL025038-PA	voltage-gated potassium channel subunit beta-2	P	GO:0006813	potassium ion transport
HMEL025038-PA	voltage-gated potassium channel subunit beta-2	C	GO:0008076	voltage-gated potassium channel complex
HMEL025038-PB	voltage-gated potassium channel subunit beta-2	P	GO:0007629	flight behavior
HMEL025038-PB	voltage-gated potassium channel subunit beta-2	P	GO:0006909	phagocytosis
HMEL025038-PB	voltage-gated potassium channel subunit beta-2	P	GO:0008340	determination of adult lifespan
HMEL025038-PB	voltage-gated potassium channel subunit beta-2	P	GO:0046331	lateral inhibition
HMEL025038-PB	voltage-gated potassium channel subunit beta-2	F	GO:0004340	glucokinase activity
HMEL025038-PB	voltage-gated potassium channel subunit beta-2	F	GO:0015459	potassium channel regulator activity
HMEL025038-PB	voltage-gated potassium channel subunit beta-2	P	GO:0030705	cytoskeleton-dependent intracellular transport
HMEL025038-PB	voltage-gated potassium channel subunit beta-2	P	GO:0060361	flight
